province,cityname,record_date,high,low,weather,wd,ws
上海,上海,2022-11-19,20,16,小雨,南风,1
上海,上海,2022-11-20,19,14,多云,西风,1
上海,上海,2022-11-21,21,16,多云,东北风,1
上海,上海,2022-11-22,18,14,多云,西风,2
上海,上海,2022-11-23,18,13,多云,东北风,2
上海,上海,2022-11-24,18,14,多云,东风,2
上海,上海,2022-11-25,20,14,多云,南风,2
上海,上海,2022-11-26,20,15,多云,东北风,1
上海,上海,2022-11-27,20,17,多云,南风,3
上海,上海,2022-11-28,22,12,中雨,西北风,2
上海,上海,2022-11-29,15,4,中雨,南风,2
上海,上海,2022-11-30,4,3,小雨,西北风,3
上海,上海,2022-10-1,31,25,阴,东南风,1
上海,上海,2022-10-2,32,25,晴,南风,1
上海,上海,2022-10-3,36,22,阴,南风,1
上海,上海,2022-10-4,24,18,小雨,北风,1
上海,上海,2022-10-5,20,16,阴,东北风,2
上海,上海,2022-10-6,18,15,小雨,北风,3
上海,上海,2022-10-7,18,16,小雨,东北风,2
上海,上海,2022-10-8,19,15,多云,北风,2
上海,上海,2022-10-9,21,12,阴,东北风,3
上海,上海,2022-10-10,18,11,阴,西北风,1
上海,上海,2022-10-11,19,15,阴,东北风,3
上海,上海,2022-10-12,20,16,阴,东北风,2
上海,上海,2022-10-13,22,18,阴,东北风,3
上海,上海,2022-10-14,22,16,多云,北风,2
上海,上海,2022-10-15,23,17,阴,东北风,2
上海,上海,2022-10-16,22,16,多云,北风,1
上海,上海,2022-10-17,21,12,多云,东北风,2
上海,上海,2022-10-18,19,13,晴,北风,2
上海,上海,2022-10-19,20,14,阴,东风,1
上海,上海,2022-10-20,22,15,多云,东南风,3
上海,上海,2022-10-21,25,18,多云,东风,2
上海,上海,2022-10-22,25,16,多云,东风,2
上海,上海,2022-10-23,21,14,晴,北风,2
上海,上海,2022-10-24,22,14,多云,东北风,3
上海,上海,2022-10-25,20,15,多云,东风,3
上海,上海,2022-10-26,20,16,多云,东风,3
上海,上海,2022-10-27,20,16,多云,东北风,1
上海,上海,2022-10-28,19,15,多云,东北风,1
上海,上海,2022-10-29,21,16,多云,东北风,1
上海,上海,2022-10-30,22,17,多云,东风,2
上海,上海,2022-10-31,22,15,多云,东北风,1
上海,上海,2022-9-1,29,24,多云,东北风,3
上海,上海,2022-9-2,28,24,多云,北风,1
上海,上海,2022-9-3,30,25,小雨,东风,2
上海,上海,2022-9-4,32,26,小雨,东北风,3
上海,上海,2022-9-5,24,20,中雨,西北风,3
上海,上海,2022-9-6,30,23,多云,南风,3
上海,上海,2022-9-7,33,24,阴,东南风,1
上海,上海,2022-9-8,31,23,阴,东风,1
上海,上海,2022-9-9,30,22,多云,东北风,2
上海,上海,2022-9-10,30,22,多云,东北风,2
上海,上海,2022-9-11,29,24,多云,东北风,1
上海,上海,2022-9-12,27,22,小雨,北风,2
上海,上海,2022-9-13,25,23,多云,北风,1
上海,上海,2022-9-14,25,23,多云,北风,2
上海,上海,2022-9-15,26,22,多云,西南风,2
上海,上海,2022-9-16,29,23,阴,北风,1
上海,上海,2022-9-17,30,23,多云,北风,2
上海,上海,2022-9-18,27,22,多云,西北风,1
上海,上海,2022-9-19,28,20,晴,北风,4
上海,上海,2022-9-20,26,21,多云,北风,3
上海,上海,2022-9-21,24,20,多云,东风,1
上海,上海,2022-9-22,28,21,多云,东南风,3
上海,上海,2022-9-23,28,18,多云,北风,3
上海,上海,2022-9-24,25,20,多云,东北风,2
上海,上海,2022-9-25,26,20,阴,东北风,1
上海,上海,2022-9-26,25,21,多云,东北风,3
上海,上海,2022-9-27,27,20,多云,东风,2
上海,上海,2022-9-28,24,20,小雨,东北风,1
上海,上海,2022-9-29,26,22,多云,东风,2
上海,上海,2022-9-30,25,23,阴,东南风,1
上海,上海,2022-8-1,36,28,多云,东南风,2
上海,上海,2022-8-2,36,29,阴,东南风,2
上海,上海,2022-8-3,36,28,多云,东南风,1
上海,上海,2022-8-4,37,30,晴,南风,1
上海,上海,2022-8-5,40,29,晴,东南风,2
上海,上海,2022-8-6,36,29,多云,北风,1
上海,上海,2022-8-7,38,29,多云,南风,2
上海,上海,2022-8-8,38,29,晴,东北风,3
上海,上海,2022-8-9,38,29,多云,东南风,1
上海,上海,2022-8-10,40,29,阴,南风,2
上海,上海,2022-8-11,40,29,多云,北风,1
上海,上海,2022-8-12,39,29,小雨,南风,3
上海,上海,2022-8-13,39,29,多云,东南风,1
上海,上海,2022-8-14,39,29,多云,南风,1
上海,上海,2022-8-15,39,29,多云,南风,1
上海,上海,2022-8-16,39,26,阴,西南风,1
上海,上海,2022-8-17,35,28,阴,东风,1
上海,上海,2022-8-18,36,29,阴,东南风,1
上海,上海,2022-8-19,40,30,多云,南风,1
上海,上海,2022-8-20,38,28,阴,东北风,1
上海,上海,2022-8-21,32,28,多云,东南风,1
上海,上海,2022-8-22,39,30,多云,南风,1
